TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2026,2,19,0,2,7XX E HASTINGS ST,Strathcona,493542.9202,5458708.9176
Other Theft,2026,4,14,12,45,7XX E HASTINGS ST,Strathcona,493542.9202,5458708.9176
Other Theft,2026,7,30,22,15,7XX E HASTINGS ST,Strathcona,493604.814,5458715.1242
Other Theft,2026,7,16,14,59,7XX E HASTINGS ST,Strathcona,493606.15,5458715.0604
Other Theft,2026,2,11,15,53,7XX E PENDER ST,Strathcona,493493.8262,5458604.9978
Other Theft,2026,1,15,5,54,7XX GORE AVE,Strathcona,492941.9856,5458333.5593
Other Theft,2026,5,7,10,0,7XX GORE AVE,Strathcona,492941.9856,5458333.5593
Other Theft,2026,2,16,18,0,7X WALTER HARDWICK AVE,Mount Pleasant,492290.7814,5457582.7489
Other Theft,2026,7,19,15,38,7XX BEATTY ST,Central Business District,491741.5615,5458358.1736
Other Theft,2026,6,20,14,40,7XX BEATTY ST,Central Business District,491832.3406,5458436.0156
Other Theft,2026,7,23,12,0,7XX BURRARD ST,West End,491077.0401,5458984.2472
Other Theft,2026,1,31,12,22,7XX BURRARD ST,West End,491107.3849,5458999.1013
Other Theft,2026,5,2,18,42,7XX BURRARD ST,Central Business District,491116.9076,5458995.6338
Other Theft,2026,5,3,14,0,7XX BURRARD ST,Central Business District,491116.9076,5458995.6338
Other Theft,2026,6,22,11,14,7XX BURRARD ST,Central Business District,491116.9076,5458995.6338
Other Theft,2026,1,24,8,10,7XX BURRARD ST,Central Business District,491119.4089,5458998.0868
Other Theft,2026,2,10,15,54,7XX BURRARD ST,Central Business District,491119.4089,5458998.0868
Other Theft,2026,1,8,15,49,7XX GRANVILLE ST,Central Business District,491295.2384,5458744.7745
Other Theft,2026,2,7,14,4,7XX GRANVILLE ST,Central Business District,491295.2384,5458744.7745
Other Theft,2026,2,25,11,40,7XX GRANVILLE ST,Central Business District,491295.2384,5458744.7745
Other Theft,2026,3,4,16,8,7XX GRANVILLE ST,Central Business District,491295.2384,5458744.7745
Other Theft,2026,3,21,16,9,7XX GRANVILLE ST,Central Business District,491295.2384,5458744.7745
Other Theft,2026,4,1,15,18,7XX GRANVILLE ST,Central Business District,491295.2384,5458744.7745
